商品种类A,商品种类B,支持度,A→B置信度,B→A置信度,提升度
花瓶,调料,0.0017,0.0393,0.0402,0.9399
毛衣,调料,0.0015,0.0392,0.0349,0.9374
花瓶,充电器,0.0015,0.0341,0.0414,0.9684
花瓶,夹克,0.0014,0.0318,0.0418,0.9768
运动裤,花瓶,0.0013,0.0408,0.0313,0.9537
充电器,调料,0.0013,0.0380,0.0321,0.9092
巧克力,调料,0.0013,0.0384,0.0316,0.9180
毛衣,夹克,0.0013,0.0349,0.0399,1.0716
巧克力,花瓶,0.0013,0.0378,0.0304,0.8838
笔记本,花瓶,0.0013,0.0449,0.0299,1.0496
指甲油,花瓶,0.0013,0.0433,0.0295,1.0119
橡皮,调料,0.0013,0.0398,0.0301,0.9533
毛衣,花瓶,0.0013,0.0338,0.0295,0.7908
巧克力,充电器,0.0013,0.0366,0.0357,1.0388
花瓶,装饰画,0.0012,0.0290,0.0473,1.1051
运动裤,巧克力,0.0012,0.0365,0.0349,1.0616
运动裤,调料,0.0012,0.0365,0.0287,0.8736
T恤,花瓶,0.0012,0.0388,0.0281,0.9076
护手霜,花瓶,0.0012,0.0421,0.0276,0.9835
运动裤,毛衣,0.0012,0.0353,0.0311,0.9474
笔记本,调料,0.0011,0.0400,0.0273,0.9563
毛衣,海鲜,0.0011,0.0306,0.0385,1.0336
鼠标,调料,0.0011,0.0370,0.0273,0.8849
篮球,花瓶,0.0011,0.0435,0.0262,1.0184
花瓶,笔袋,0.0011,0.0262,0.0526,1.2309
指甲油,调料,0.0011,0.0378,0.0263,0.9037
橡皮,花瓶,0.0011,0.0342,0.0253,0.7988
花瓶,计算器,0.0011,0.0253,0.0355,0.8314
花瓶,鼠标,0.0011,0.0253,0.0350,0.8195
T恤,充电器,0.0011,0.0343,0.0301,0.9723
花瓶,瑜伽垫,0.0011,0.0248,0.0403,0.9419
毛衣,计算器,0.0010,0.0279,0.0342,0.9188
花瓶,腮红,0.0010,0.0243,0.0427,0.9984
计算器,调料,0.0010,0.0342,0.0249,0.8190
运动裤,篮球,0.0010,0.0310,0.0397,1.2069
笔记本,毛衣,0.0010,0.0358,0.0274,0.9599
花瓶,面包,0.0010,0.0239,0.0413,0.9665
海鲜,调料,0.0010,0.0345,0.0244,0.8244
巧克力,计算器,0.0010,0.0291,0.0329,0.9569
护发素,花瓶,0.0010,0.0412,0.0234,0.9640
花瓶,头盔,0.0010,0.0234,0.0416,0.9736
睡衣,充电器,0.0010,0.0475,0.0284,1.3479
调料,装饰画,0.0010,0.0239,0.0381,0.9117
