记录ID,用户ID,购买商品数量,商品ID,购买总金额(元),购买时间,是否退款
1,36,4,"1672,1454,1048,1737",4191.47,2024-02-05 18:51:00,否
2,54,1,1748,698.13,2024-01-20 09:55:00,否
3,75,1,1458,2105.56,2024-11-29 02:50:00,是
4,44,2,"1689,1176",1532.81,2024-07-27 17:06:00,否
5,68,4,"1046,1537,1996,1929",1605.19,2024-01-31 19:19:00,否
6,56,1,1943,36.44,2024-09-24 12:03:00,否
7,76,5,"1669,1155,1096,1592,1863",6942.81,2024-11-14 17:02:00,否
8,87,1,1188,11.04,2024-01-29 22:04:00,否
9,2,3,"1639,1905,1948",4083.19,2024-07-06 00:02:00,是
10,93,5,"1454,1482,1870,1069,1529",6621.86,2024-11-12 21:48:00,否
11,87,1,1913,96.96,2024-10-01 14:04:00,否
12,21,1,1826,49.43,2024-03-30 01:51:00,否
13,60,3,"1901,1856,1591",3917.96,2024-02-14 03:19:00,否
14,25,3,"1837,1812,1949",4483.28,2024-06-30 07:11:00,否
15,83,3,"1258,1710,1673",1687.03,2024-06-30 07:36:00,否
16,89,3,"1696,1067,1776",1223.0,2024-10-31 08:22:00,否
17,77,2,"1229,1085",1914.27,2024-09-06 10:54:00,否
18,3,3,"1041,1671,1753",6282.98,2024-06-22 13:34:00,否
19,48,2,"1022,1907",236.55,2024-05-06 14:43:00,否
20,35,1,1442,459.51,2024-03-31 23:48:00,否
21,42,5,"1394,1994,1752,1642,1761",8963.62,2024-04-20 04:06:00,否
22,44,1,1201,1936.47,2024-04-09 00:12:00,否
23,83,2,"1934,1573",2455.05,2024-11-28 03:50:00,否
24,69,1,1579,329.7,2024-07-27 06:34:00,否
25,35,1,1441,1772.73,2024-07-19 18:09:00,是
26,84,1,1437,3338.18,2024-01-28 15:40:00,否
27,93,1,1819,1333.75,2024-05-01 12:09:00,否
28,24,1,1621,378.2,2024-09-05 09:22:00,否
29,28,2,"1180,1012",3723.45,2024-04-16 12:01:00,否
30,91,4,"1798,1732,1832,1687",3621.76,2024-08-06 21:45:00,否
31,3,2,"1711,1011",1618.68,2024-03-22 13:31:00,否
32,94,1,1615,395.51,2024-10-02 18:51:00,否
33,37,2,"1448,1353",3439.51,2024-03-18 07:08:00,否
34,68,1,1555,2650.76,2024-09-19 18:22:00,否
35,87,2,"1230,1579",960.0,2024-05-19 23:45:00,否
36,72,4,"1872,1705,1734,1348",6077.65,2024-05-15 11:14:00,否
37,45,2,"1824,1089",1568.98,2024-03-31 00:33:00,否
38,76,5,"1757,1144,1547,1272,1155",3944.42,2024-07-21 08:31:00,否
39,22,1,1745,33.37,2024-01-02 10:32:00,否
40,29,1,1605,2202.91,2024-05-19 09:34:00,否
41,84,3,"1571,1300,1228",6632.07,2024-04-16 06:48:00,是
42,79,1,1113,279.63,2024-04-08 18:10:00,否
43,99,4,"1785,1486,1138,1154",6983.42,2024-03-19 01:23:00,否
44,42,4,"1860,1959,1178,1686",1714.58,2024-07-04 06:59:00,否
45,69,1,1965,1601.09,2024-04-17 06:38:00,否
46,70,4,"1135,1097,1601,1555",8295.05,2024-09-18 11:44:00,否
47,70,2,"1398,1940",1173.13,2024-09-22 22:24:00,否
48,56,2,"1014,1371",1690.24,2024-06-16 22:22:00,否
49,29,3,"1777,1850,1031",5519.05,2024-05-20 11:36:00,否
50,24,5,"1640,1557,1965,1554,1996",7816.0,2024-03-13 09:37:00,否
51,16,1,1087,1471.99,2024-03-26 20:08:00,否
52,96,3,"1569,1414,1380",5126.28,2024-08-09 08:38:00,否
53,32,2,"1123,1567",417.82,2024-02-22 12:33:00,否
54,68,1,1416,223.17,2024-11-16 13:55:00,是
55,29,4,"1182,1961,1923,1573",5607.93,2024-08-14 20:50:00,否
